transactionId,Date,Hour,name,dollars,user,transactionStatus
1,6/27/23,5:58,Ram,"$71,280.87 ",17,SETTLED
2,12/29/22,4:59,Ford,"$8,473.29 ",28,SETTLED
3,1/29/23,11:20,Lincoln,"$52,604.35 ",35,SETTLED
4,5/22/23,14:11,GMC,"$4,546.56 ",35,SETTLED
5,4/17/23,21:13,Mazda,"$31,126.65 ",11,SETTLED
6,10/16/22,5:17,Mitsubishi,"$81,257.94 ",6,SETTLED
7,4/4/23,3:57,Acura,"$3,647.65 ",25,SETTLED
8,11/9/22,9:29,Chevrolet,"$66,412.23 ",40,SETTLED
9,10/17/22,20:36,Toyota,"$90,247.33 ",11,SETTLED
10,6/1/23,13:58,Nissan,"$92,390.05 ",9,SETTLED
11,4/23/23,10:25,Ferrari,"$35,439.40 ",5,SETTLED
12,2/23/23,6:47,BMW,"$77,634.19 ",10,SETTLED
13,10/22/22,19:04,Ford,"$71,976.79 ",18,SETTLED
14,12/18/22,16:42,Mitsubishi,"$39,085.80 ",26,SETTLED
15,10/4/22,22:16,Infiniti,"$5,998.08 ",13,SETTLED
16,7/11/23,17:38,Volvo,"$84,587.80 ",28,SETTLED
17,4/21/23,8:06,GMC,"$29,925.88 ",35,SETTLED
18,5/29/23,4:31,Infiniti,"$53,741.57 ",2,SETTLED
19,3/3/23,14:14,Ford,"$21,547.49 ",8,SETTLED
20,3/17/23,22:56,BMW,"$61,133.60 ",15,SETTLED
21,10/21/22,0:26,Chrysler,"$8,784.09 ",35,SETTLED
22,1/13/23,9:58,GMC,"$28,771.41 ",40,SETTLED
23,1/12/23,1:17,Pontiac,"$59,160.46 ",21,SETTLED
24,6/1/23,23:31,Buick,"$30,131.00 ",31,SETTLED
25,1/30/23,16:38,Pontiac,"$15,346.24 ",28,SETTLED
26,12/31/22,5:29,Chevrolet,"$14,839.53 ",5,SETTLED
27,10/23/22,23:58,Toyota,"$17,021.84 ",34,SETTLED
28,12/8/22,11:17,Mercedes-Benz,"$65,942.12 ",30,SETTLED
29,3/16/23,8:10,Ford,"$14,302.21 ",40,SETTLED
30,4/1/23,14:23,Audi,"$44,362.61 ",28,SETTLED
31,10/2/22,17:29,BMW,"$35,806.34 ",21,SETTLED
32,11/17/22,4:37,Dodge,"$77,015.72 ",30,SETTLED
33,4/27/23,20:46,Ford,"$62,718.38 ",12,SETTLED
34,12/30/22,8:06,Mazda,"$4,899.78 ",25,SETTLED
35,11/13/22,8:42,Mercury,"$11,852.11 ",16,SETTLED
36,7/1/23,7:32,Chevrolet,"$71,682.33 ",17,SETTLED
37,7/12/23,16:25,Subaru,"$29,487.95 ",37,SETTLED
38,2/1/23,21:17,Nissan,"$38,361.93 ",26,SETTLED
39,1/8/23,6:42,Mercury,"$46,356.82 ",11,SETTLED
40,6/29/23,10:23,Toyota,"$86,488.89 ",9,SETTLED
41,11/10/22,8:55,Suzuki,"$11,192.19 ",18,SETTLED
42,12/2/22,2:48,Ford,"$68,591.52 ",3,SETTLED
43,6/2/23,9:43,Dodge,"$4,565.96 ",9,SETTLED
44,11/18/22,14:45,Buick,"$31,466.80 ",33,SETTLED
45,2/14/23,5:34,Jaguar,"$24,128.93 ",1,SETTLED
46,7/1/23,5:14,Hyundai,"$52,226.90 ",21,SETTLED
47,4/7/23,23:12,Acura,"$49,442.30 ",40,SETTLED
48,6/18/23,1:42,Lincoln,"$76,685.29 ",37,SETTLED
49,12/15/22,2:15,Acura,"$6,978.02 ",1,SETTLED
50,3/15/23,18:33,Mazda,"$72,297.43 ",32,SETTLED
51,4/3/23,13:57,Ford,"$47,083.84 ",5,SETTLED
52,9/24/22,13:58,Mazda,"$33,614.88 ",30,SETTLED
53,11/12/22,0:11,Land Rover,$358.66 ,15,SETTLED
54,6/23/23,8:13,Ford,"$1,755.97 ",9,SETTLED
55,3/18/23,22:10,Ford,"$3,698.22 ",30,SETTLED
56,10/3/22,17:54,Pontiac,"$11,070.25 ",7,SETTLED
57,6/16/23,8:43,Toyota,"$7,992.47 ",33,SETTLED
58,6/8/23,14:05,Dodge,"$21,008.08 ",11,SETTLED
59,4/28/23,20:29,Volkswagen,"$41,519.48 ",30,SETTLED
60,1/16/23,6:40,Mazda,"$54,275.94 ",38,SETTLED
61,7/12/23,23:02,Kia,"$57,562.63 ",16,SETTLED
62,6/10/23,15:16,Nissan,"$15,870.90 ",40,SETTLED
63,10/4/22,9:00,Mitsubishi,"$63,350.48 ",31,SETTLED
64,12/1/22,21:30,Mitsubishi,"$3,947.14 ",2,SETTLED
65,11/8/22,4:48,Mitsubishi,"$73,579.52 ",17,SETTLED
66,3/27/23,22:51,Chevrolet,"$88,980.05 ",7,SETTLED
67,6/13/23,1:58,Chevrolet,"$71,987.06 ",5,SETTLED
68,12/3/22,4:34,Ford,"$17,157.93 ",29,SETTLED
69,1/15/23,6:51,Mercedes-Benz,"$58,288.79 ",29,SETTLED
70,11/15/22,18:21,Nissan,"$42,495.74 ",35,SETTLED
71,11/16/22,23:49,Daewoo,"$79,962.70 ",15,SETTLED
72,12/11/22,11:13,Cadillac,"$73,772.44 ",35,SETTLED
73,2/7/23,21:52,Mitsubishi,"$28,909.48 ",4,SETTLED
74,4/24/23,11:10,Mitsubishi,"$81,668.92 ",31,SETTLED
75,3/31/23,3:01,Volkswagen,"$60,593.10 ",21,SETTLED
76,3/27/23,5:53,GMC,"$34,982.66 ",3,SETTLED
77,6/8/23,1:30,Mercury,"$21,510.69 ",21,SETTLED
78,2/4/23,9:35,Chevrolet,"$23,343.67 ",14,SETTLED
79,2/3/23,8:01,Dodge,"$36,074.18 ",36,SETTLED
80,2/16/23,23:58,GMC,"$65,086.14 ",38,SETTLED
81,2/25/23,18:47,Mercedes-Benz,"$92,887.47 ",1,SETTLED
82,10/20/22,5:10,Volvo,"$43,043.07 ",15,SETTLED
83,6/16/23,0:56,Mitsubishi,"$55,809.34 ",33,SETTLED
84,4/20/23,13:23,Mercedes-Benz,"$43,509.88 ",31,SETTLED
85,6/17/23,22:22,Mercury,"$79,336.63 ",22,SETTLED
86,7/14/23,6:58,Ford,"$75,377.53 ",39,SETTLED
87,5/1/23,22:23,Lexus,"$22,476.55 ",32,SETTLED
88,1/6/23,16:43,Lexus,"$65,669.62 ",1,SETTLED
89,1/21/23,17:04,Audi,"$54,573.07 ",36,SETTLED
90,5/3/23,21:11,Toyota,"$88,172.69 ",20,SETTLED
91,10/22/22,0:13,Mazda,"$29,475.43 ",33,SETTLED
92,5/21/23,9:43,Ford,"$70,485.88 ",39,SETTLED
93,12/2/22,21:51,Toyota,"$61,858.08 ",37,SETTLED
94,12/16/22,22:19,GMC,"$35,803.72 ",40,SETTLED
95,1/29/23,5:22,Porsche,"$3,605.89 ",25,SETTLED
96,4/18/23,16:52,GMC,"$83,338.26 ",33,SETTLED
97,9/24/22,6:19,Kia,"$86,313.45 ",11,SETTLED
98,1/14/23,17:49,Lincoln,"$54,462.09 ",23,SETTLED
99,2/18/23,20:29,Nissan,"$17,931.32 ",14,SETTLED
100,5/10/23,8:48,Chevrolet,"$12,469.00 ",24,SETTLED
101,5/9/23,8:40,GMC,"$46,114.59 ",8,SETTLED
102,3/21/23,8:53,Lexus,"$78,880.65 ",27,SETTLED
103,12/8/22,16:35,Toyota,"$27,621.71 ",17,SETTLED
104,11/12/22,6:14,Ford,"$37,510.63 ",5,SETTLED
105,12/24/22,2:16,Audi,"$15,833.28 ",32,SETTLED
106,11/15/22,12:03,Chevrolet,"$54,563.46 ",30,SETTLED
107,3/11/23,11:24,Mazda,"$8,021.24 ",32,SETTLED
108,6/9/23,7:51,Mercedes-Benz,"$28,640.21 ",12,SETTLED
109,10/7/22,13:59,Mazda,"$41,539.45 ",20,SETTLED
110,4/15/23,23:00,Mercedes-Benz,"$74,643.17 ",13,SETTLED
111,10/23/22,21:34,Chevrolet,"$16,992.12 ",21,SETTLED
112,11/16/22,18:45,BMW,"$53,290.22 ",5,SETTLED
113,5/25/23,8:44,Plymouth,"$69,985.12 ",8,SETTLED
114,10/28/22,21:30,Toyota,$272.38 ,29,SETTLED
115,6/3/23,1:13,Ford,"$82,627.30 ",15,SETTLED
116,6/4/23,9:02,Acura,"$53,226.47 ",38,SETTLED
117,4/27/23,9:24,Volkswagen,"$41,668.75 ",31,SETTLED
118,3/27/23,19:39,Mazda,"$85,083.90 ",37,SETTLED
119,3/1/23,8:16,Volkswagen,"$72,985.65 ",20,SETTLED
120,2/21/23,11:20,Kia,"$33,591.06 ",39,SETTLED
121,10/31/22,20:35,Land Rover,"$60,502.50 ",6,SETTLED
122,5/11/23,18:52,Buick,"$84,164.84 ",20,SETTLED
123,11/30/22,2:57,Chevrolet,"$2,605.43 ",7,SETTLED
124,4/9/23,19:37,Chevrolet,"$29,698.36 ",7,SETTLED
125,2/17/23,0:47,Mercedes-Benz,"$61,897.72 ",32,SETTLED
126,5/17/23,0:09,Ford,"$63,599.93 ",16,SETTLED
127,5/30/23,1:47,Volkswagen,"$13,919.52 ",31,SETTLED
128,11/2/22,17:47,Mitsubishi,"$53,271.27 ",30,SETTLED
129,10/23/22,16:04,Mazda,"$55,205.49 ",34,SETTLED
130,1/17/23,19:42,Nissan,"$77,506.29 ",6,SETTLED
131,7/6/23,21:29,Ford,"$45,230.36 ",26,SETTLED
132,1/18/23,22:10,Cadillac,"$83,964.85 ",35,SETTLED
133,10/18/22,7:40,Mazda,"$74,115.18 ",1,SETTLED
134,10/7/22,0:16,BMW,"$66,853.09 ",12,SETTLED
135,9/24/22,20:20,GMC,"$50,164.87 ",15,SETTLED
136,11/24/22,21:03,Land Rover,"$59,826.60 ",23,SETTLED
137,5/13/23,1:10,GMC,"$69,268.36 ",3,SETTLED
138,6/9/23,20:58,Mercedes-Benz,"$48,133.36 ",12,SETTLED
139,10/7/22,20:49,Acura,"$77,872.95 ",5,SETTLED
140,4/13/23,10:29,Mercury,"$41,331.91 ",18,SETTLED
141,1/21/23,1:01,Land Rover,"$72,987.83 ",9,SETTLED
142,10/16/22,2:02,Chrysler,"$67,231.74 ",20,SETTLED
143,10/2/22,21:24,Bugatti,"$79,821.07 ",11,SETTLED
144,11/9/22,8:34,Suzuki,"$81,491.13 ",4,SETTLED
145,3/24/23,19:37,Toyota,"$15,368.92 ",31,SETTLED
146,3/5/23,10:23,Mitsubishi,"$60,446.81 ",26,SETTLED
147,5/16/23,6:49,Dodge,"$33,098.82 ",31,SETTLED
148,1/29/23,1:07,Chrysler,"$77,249.15 ",11,SETTLED
149,1/31/23,5:58,Plymouth,"$46,567.85 ",20,SETTLED
150,11/4/22,7:27,Cadillac,"$23,313.40 ",31,SETTLED
151,3/3/23,19:39,Daewoo,"$27,217.09 ",15,SETTLED
152,12/4/22,13:15,Lamborghini,"$52,123.61 ",19,SETTLED
153,3/24/23,18:55,Hummer,"$50,159.96 ",30,SETTLED
154,12/2/22,15:56,Acura,"$4,247.82 ",1,SETTLED
155,4/28/23,6:15,Mitsubishi,"$41,530.85 ",33,SETTLED
156,12/5/22,15:14,Lexus,"$26,159.59 ",30,SETTLED
157,3/17/23,17:04,Pontiac,"$36,142.03 ",20,SETTLED
158,5/9/23,11:24,Dodge,"$11,059.56 ",28,SETTLED
159,2/26/23,4:45,Saab,"$4,713.80 ",25,SETTLED
160,10/8/22,10:21,Plymouth,"$44,636.98 ",15,SETTLED
161,3/24/23,19:03,Nissan,"$17,215.84 ",13,SETTLED
162,7/14/23,14:05,Land Rover,"$13,226.39 ",24,SETTLED
163,4/19/23,17:39,Volkswagen,$173.51 ,18,SETTLED
164,10/23/22,23:42,GMC,"$53,911.78 ",38,SETTLED
165,11/6/22,19:02,Infiniti,"$31,476.22 ",33,SETTLED
166,4/25/23,22:44,Volvo,"$18,851.09 ",36,SETTLED
167,4/2/23,12:14,Chevrolet,"$65,225.53 ",13,SETTLED
168,3/18/23,9:50,Volkswagen,"$63,507.87 ",38,SETTLED
169,12/26/22,21:59,BMW,"$5,571.87 ",32,SETTLED
170,12/17/22,21:50,Ford,"$57,850.59 ",35,SETTLED
171,12/29/22,16:47,Maserati,"$92,001.92 ",2,SETTLED
172,5/9/23,14:40,Ford,"$80,049.93 ",12,SETTLED
173,4/21/23,6:22,Toyota,"$1,679.07 ",21,SETTLED
174,1/6/23,0:00,Lincoln,"$64,556.71 ",36,SETTLED
175,4/27/23,5:54,Chevrolet,"$42,941.28 ",22,SETTLED
176,11/11/22,14:47,Dodge,"$28,578.73 ",2,SETTLED
177,12/24/22,6:30,Hyundai,"$21,324.93 ",20,SETTLED
178,12/31/22,9:44,Chevrolet,"$20,398.61 ",1,SETTLED
179,12/1/22,20:29,BMW,"$92,659.50 ",12,SETTLED
180,3/8/23,15:41,Chevrolet,"$39,356.76 ",23,SETTLED
181,2/12/23,14:08,Pontiac,"$55,865.47 ",4,SETTLED
182,2/24/23,8:08,Chevrolet,"$69,601.64 ",32,SETTLED
183,9/25/22,19:34,Chevrolet,"$75,139.80 ",38,SETTLED
184,1/25/23,16:55,Volvo,"$5,041.70 ",6,SETTLED
185,11/20/22,2:31,Morgan,"$81,579.10 ",25,SETTLED
186,1/14/23,22:54,Chevrolet,"$3,561.82 ",11,SETTLED
187,11/11/22,14:12,Volkswagen,"$63,652.84 ",11,SETTLED
188,3/17/23,5:58,Chevrolet,"$78,790.08 ",3,SETTLED
189,2/19/23,15:00,Mercedes-Benz,"$2,264.62 ",12,SETTLED
190,12/1/22,10:57,Jaguar,"$76,289.26 ",37,SETTLED
191,12/30/22,22:25,Acura,"$45,585.38 ",2,SETTLED
192,1/8/23,11:52,Pontiac,"$63,111.61 ",29,SETTLED
193,4/21/23,0:39,Infiniti,"$89,290.50 ",30,SETTLED
194,11/24/22,18:35,Hyundai,"$53,923.57 ",24,SETTLED
195,10/14/22,4:14,MINI,"$43,565.40 ",1,SETTLED
196,7/10/23,7:09,Nissan,"$90,880.15 ",38,SETTLED
197,5/22/23,11:31,Mitsubishi,"$52,747.87 ",19,SETTLED
198,11/28/22,7:51,Saturn,"$84,947.68 ",6,SETTLED
199,6/4/23,12:43,Mercedes-Benz,"$82,631.10 ",24,SETTLED
200,12/29/22,13:34,Mazda,"$21,844.29 ",20,SETTLED
201,11/27/22,18:11,Bentley,"$46,627.50 ",37,SETTLED
202,3/24/23,8:50,Infiniti,"$12,706.22 ",32,SETTLED
203,7/16/23,11:39,Chevrolet,"$64,354.86 ",25,SETTLED
204,11/26/22,17:02,Jaguar,"$67,261.24 ",12,SETTLED
205,6/29/23,7:17,Honda,"$49,775.39 ",37,SETTLED
206,10/25/22,13:57,Lincoln,"$38,693.03 ",3,SETTLED
207,12/12/22,23:12,Mazda,"$33,124.09 ",8,SETTLED
208,4/19/23,6:07,Audi,"$84,228.35 ",4,SETTLED
209,1/13/23,2:55,Volkswagen,"$46,056.61 ",34,SETTLED
210,11/12/22,16:05,Chevrolet,"$73,838.72 ",28,SETTLED
211,4/9/23,11:44,Geo,"$1,203.88 ",32,SETTLED
212,4/14/23,19:45,Chevrolet,"$48,260.02 ",12,SETTLED
213,12/20/22,9:02,Land Rover,"$4,067.98 ",17,SETTLED
214,10/26/22,21:42,Toyota,"$77,986.70 ",4,SETTLED
215,12/9/22,13:27,Toyota,"$34,801.54 ",5,SETTLED
216,12/9/22,9:09,Honda,"$58,116.76 ",40,SETTLED
217,12/29/22,11:06,Chrysler,"$3,227.38 ",30,SETTLED
218,4/27/23,15:16,Volkswagen,"$88,196.87 ",13,SETTLED
219,3/5/23,23:06,Kia,"$40,721.65 ",40,SETTLED
220,4/7/23,2:37,Dodge,"$29,239.33 ",9,SETTLED
221,5/19/23,21:19,Ford,"$25,231.14 ",27,SETTLED
222,10/26/22,10:55,Cadillac,"$13,028.78 ",29,SETTLED
223,5/17/23,3:09,Toyota,"$62,560.35 ",29,SETTLED
224,3/16/23,8:31,Nissan,"$78,991.99 ",35,SETTLED
225,12/21/22,7:23,Chevrolet,"$69,612.27 ",3,SETTLED
226,4/12/23,20:56,Honda,"$37,772.92 ",30,SETTLED
227,6/3/23,2:01,Hyundai,"$31,548.93 ",34,SETTLED
228,2/14/23,23:13,Mercedes-Benz,"$64,388.53 ",37,SETTLED
229,5/8/23,14:46,Lincoln,"$59,564.26 ",13,SETTLED
230,11/25/22,15:08,Volkswagen,"$45,870.86 ",38,SETTLED
231,1/21/23,19:49,Audi,"$84,177.03 ",5,SETTLED
232,4/14/23,2:23,Land Rover,"$17,735.64 ",21,SETTLED
233,12/1/22,13:34,Mitsubishi,"$83,936.47 ",12,SETTLED
234,7/6/23,6:05,Lexus,"$40,405.62 ",35,SETTLED
235,5/14/23,0:33,Chevrolet,"$9,993.91 ",37,SETTLED
236,10/4/22,22:45,BMW,"$66,721.67 ",9,SETTLED
237,2/14/23,3:31,Hyundai,"$87,754.77 ",26,SETTLED
238,10/25/22,11:32,GMC,"$8,923.99 ",39,SETTLED
239,6/21/23,2:47,BMW,"$1,033.17 ",3,SETTLED
240,1/24/23,14:31,BMW,"$12,505.65 ",33,SETTLED
241,1/30/23,2:39,Aston Martin,"$45,328.25 ",33,SETTLED
242,4/22/23,9:18,Cadillac,"$39,608.31 ",11,SETTLED
243,1/6/23,9:41,Volvo,"$49,008.13 ",21,SETTLED
244,9/22/22,23:28,Acura,"$22,317.87 ",28,SETTLED
245,10/25/22,6:39,Suzuki,"$9,595.86 ",30,SETTLED
246,11/28/22,3:35,Mercedes-Benz,"$18,134.23 ",17,SETTLED
247,6/17/23,15:59,MINI,"$83,393.96 ",6,SETTLED
248,1/23/23,4:41,Pontiac,"$79,518.44 ",4,SETTLED
249,6/19/23,9:35,Dodge,"$18,618.19 ",5,SETTLED
250,6/22/23,3:23,Bentley,"$27,934.00 ",33,SETTLED
251,1/4/23,6:40,Honda,"$83,402.56 ",34,SETTLED
252,9/20/22,7:40,Lincoln,"$2,114.20 ",15,SETTLED
253,6/3/23,18:45,Mercury,"$82,935.20 ",20,SETTLED
254,3/18/23,7:52,Ford,"$79,304.06 ",5,SETTLED
255,12/19/22,8:53,Toyota,"$81,806.74 ",1,SETTLED
256,10/22/22,19:44,BMW,"$22,143.19 ",19,SETTLED
257,1/2/23,2:00,Volkswagen,"$43,683.23 ",31,SETTLED
258,11/19/22,9:41,Saturn,"$91,971.50 ",38,SETTLED
259,12/17/22,8:29,Mazda,"$13,091.91 ",19,SETTLED
260,12/29/22,13:40,Mazda,"$6,043.60 ",4,SETTLED
261,2/3/23,9:03,Ford,"$51,947.70 ",37,SETTLED
262,11/22/22,7:23,Lexus,$448.67 ,37,SETTLED
263,3/10/23,21:22,Mercedes-Benz,$626.71 ,15,SETTLED
264,10/31/22,12:47,Chevrolet,"$78,799.58 ",2,SETTLED
265,2/11/23,6:58,Ford,"$46,120.09 ",30,SETTLED
266,5/28/23,1:18,Mercury,"$58,255.47 ",11,SETTLED
267,3/22/23,3:39,Volvo,"$21,808.25 ",11,SETTLED
268,10/5/22,10:20,Maybach,"$89,895.28 ",15,SETTLED
269,6/6/23,5:46,Volvo,"$85,952.29 ",1,SETTLED
270,7/2/23,21:09,Lincoln,"$80,012.12 ",32,SETTLED
271,3/28/23,6:35,Dodge,"$57,146.15 ",20,SETTLED
272,3/28/23,18:03,Subaru,"$16,197.86 ",30,SETTLED
273,10/10/22,8:53,BMW,"$74,716.14 ",5,SETTLED
274,9/30/22,5:30,Plymouth,"$78,569.90 ",14,SETTLED
275,6/1/23,6:32,Ford,"$47,802.86 ",33,SETTLED
276,9/22/22,2:22,Bentley,"$22,315.87 ",36,SETTLED
277,11/12/22,11:03,Mitsubishi,"$90,442.07 ",36,SETTLED
278,10/20/22,17:03,Volkswagen,"$85,193.70 ",28,SETTLED
279,1/14/23,2:36,Subaru,"$75,981.35 ",22,SETTLED
280,11/11/22,8:21,Eagle,"$73,369.03 ",8,SETTLED
281,6/11/23,2:57,Honda,"$6,616.21 ",31,SETTLED
282,11/12/22,19:39,Ferrari,"$85,111.61 ",10,SETTLED
283,10/14/22,11:36,GMC,"$22,043.88 ",23,SETTLED
284,5/19/23,3:26,Lexus,"$24,254.05 ",18,SETTLED
285,12/24/22,6:51,Dodge,"$91,101.93 ",17,SETTLED
286,11/23/22,15:14,Isuzu,"$47,349.59 ",35,SETTLED
287,1/7/23,14:16,Hyundai,"$6,387.52 ",14,SETTLED
288,10/4/22,23:40,Honda,"$39,984.69 ",12,SETTLED
289,6/1/23,22:17,MINI,"$63,527.40 ",31,SETTLED
290,10/17/22,14:14,Mitsubishi,"$21,809.37 ",3,SETTLED
291,1/21/23,6:37,Ford,"$50,731.79 ",12,SETTLED
292,12/17/22,3:23,Dodge,"$86,361.51 ",4,SETTLED
293,3/2/23,5:22,Plymouth,"$17,925.38 ",2,SETTLED
294,10/18/22,0:40,BMW,"$26,248.07 ",12,SETTLED
295,3/15/23,1:13,Ferrari,"$24,127.68 ",7,SETTLED
296,4/1/23,20:00,Buick,"$92,289.97 ",14,SETTLED
297,9/24/22,3:50,Jeep,"$62,016.32 ",6,SETTLED
298,6/10/23,17:54,Subaru,"$36,114.92 ",30,SETTLED
299,6/19/23,1:43,Ford,"$91,116.49 ",3,SETTLED
300,2/21/23,15:13,Mercedes-Benz,"$59,042.92 ",26,SETTLED
301,10/14/22,12:59,Ford,"$41,908.55 ",2,SETTLED
302,4/18/23,7:19,Ford,"$62,191.98 ",22,SETTLED
303,2/21/23,17:36,Ford,"$22,509.91 ",25,SETTLED
304,9/22/22,8:48,Volkswagen,"$60,228.28 ",1,SETTLED
305,3/13/23,6:50,Mercedes-Benz,"$82,490.39 ",24,SETTLED
306,11/4/22,14:17,Isuzu,"$61,380.58 ",39,SETTLED
307,9/27/22,3:56,Ford,"$8,415.65 ",26,SETTLED
308,5/4/23,22:24,GMC,"$35,788.09 ",12,SETTLED
309,5/24/23,12:19,Nissan,"$87,372.80 ",28,SETTLED
310,10/27/22,21:54,GMC,"$56,758.36 ",29,SETTLED
311,2/14/23,23:17,Kia,"$77,969.16 ",37,SETTLED
312,7/13/23,21:39,BMW,"$76,599.95 ",25,SETTLED
313,4/11/23,21:14,Dodge,"$17,777.35 ",14,SETTLED
314,1/21/23,6:01,Suzuki,"$51,490.89 ",7,SETTLED
315,1/18/23,2:28,Hyundai,"$42,557.53 ",34,SETTLED
316,5/20/23,23:56,Aston Martin,"$34,232.11 ",16,SETTLED
317,7/11/23,9:22,Pontiac,"$47,682.49 ",28,SETTLED
318,11/15/22,19:19,Audi,$377.19 ,23,SETTLED
319,11/24/22,16:42,Mercedes-Benz,"$74,851.88 ",2,SETTLED
320,4/1/23,3:37,Mazda,"$8,877.39 ",5,SETTLED
321,6/13/23,5:51,Land Rover,"$84,940.01 ",6,SETTLED
322,5/8/23,4:41,Ford,"$50,227.02 ",20,SETTLED
323,4/26/23,21:33,Lincoln,$546.62 ,4,SETTLED
324,1/13/23,6:12,GMC,"$80,493.63 ",26,SETTLED
325,3/11/23,14:48,Volvo,"$48,880.23 ",9,SETTLED
326,3/2/23,12:53,Ford,"$53,936.26 ",8,SETTLED
327,1/24/23,14:21,Chevrolet,"$18,128.20 ",33,SETTLED
328,1/22/23,2:05,Nissan,"$55,977.25 ",10,SETTLED
329,1/26/23,19:30,Chevrolet,"$46,316.53 ",14,SETTLED
330,12/25/22,5:48,GMC,"$81,506.80 ",1,SETTLED
331,3/12/23,1:39,Aston Martin,"$66,713.87 ",37,SETTLED
332,12/18/22,21:57,Honda,"$35,781.54 ",16,SETTLED
333,2/1/23,8:32,Lincoln,"$10,199.69 ",1,SETTLED
